VariableCode,RegionCode,YearCode,AggValue
rgdpe,BDI,1990,4961.14843750000000000
pop,BDI,1990,5.43895700000000000
rgdpe,BDI,2000,4336.04589843750000000
pop,BDI,2000,6.37887100000000000
rgdpe,BDI,2010,6156.70654296875000000
pop,BDI,2010,8.67560200000000000
rgdpe,BDI,2017,8500.01171875000000000
pop,BDI,2017,10.82701900000000000
rgdpe,BEL,1950,75285.92187500000000000
pop,BEL,1950,8.63433102251680000
rgdpe,BEL,1960,102919.17968750000000000
pop,BEL,1960,9.11338252048344000
rgdpe,BEL,1970,165948.40625000000000000
pop,BEL,1970,9.63218000000000000
rgdpe,BEL,1980,243294.28125000000000000
pop,BEL,1980,9.86899500000000000
rgdpe,BEL,1990,272013.56250000000000000
pop,BEL,1990,10.00654400000000000
rgdpe,BEL,2000,378521.62500000000000000
pop,BEL,2000,10.28203300000000000
rgdpe,BEL,2010,488960.96875000000000000
pop,BEL,2010,10.93873900000000000
rgdpe,BEL,2017,568297.12500000000000000
pop,BEL,2017,11.41974800000000000
rgdpe,BEN,1960,3884.60498046875000000
pop,BEN,1960,2.28455613775775000
rgdpe,BEN,1970,5971.80908203125000000
pop,BEN,1970,2.91234000000000000
rgdpe,BEN,1980,7374.34863281250000000
pop,BEN,1980,3.71716500000000000
rgdpe,BEN,1990,6388.10839843750000000
pop,BEN,1990,4.97849600000000000
rgdpe,BEN,2000,10898.74804687500000000
pop,BEN,2000,6.86595100000000000
rgdpe,BEN,2010,17586.01367187500000000
pop,BEN,2010,9.19925900000000000
rgdpe,BEN,2017,32311.00000000000000000
pop,BEN,2017,11.17519800000000000
rgdpe,BFA,1960,4647.13769531250000000
pop,BFA,1960,5.16012561594278000
rgdpe,BFA,1970,5486.65087890625000000
pop,BFA,1970,5.62460000000000000
rgdpe,BFA,1980,7773.03369140625000000
pop,BFA,1980,6.82284300000000000
rgdpe,BFA,1990,9579.77636718750000000
pop,BFA,1990,8.81103400000000000
rgdpe,BFA,2000,15160.37402343750000000
pop,BFA,2000,11.60794200000000000
rgdpe,BFA,2010,24981.12695312500000000
pop,BFA,2010,15.60521700000000000
rgdpe,BFA,2017,37078.61718750000000000
pop,BFA,2017,19.19323400000000000
rgdpe,BGD,1960,83272.47656250000000000
pop,BGD,1960,52.08006938720480000
rgdpe,BGD,1970,106058.42187500000000000
pop,BGD,1970,64.23248200000000000
rgdpe,BGD,1980,102615.72656250000000000
pop,BGD,1980,79.63949100000000000
rgdpe,BGD,1990,152607.46875000000000000
pop,BGD,1990,103.17195600000000000
rgdpe,BGD,2000,191012.18750000000000000
pop,BGD,2000,127.65785400000000000
rgdpe,BGD,2010,372817.06250000000000000
pop,BGD,2010,147.57543000000000000
rgdpe,BGD,2017,654304.75000000000000000
pop,BGD,2017,159.68542400000000000
rgdpe,BGR,1970,38298.23437500000000000
pop,BGR,1970,8.50755100000000000
rgdpe,BGR,1980,73478.47656250000000000
pop,BGR,1980,8.87879100000000000
rgdpe,BGR,1990,104736.34375000000000000
pop,BGR,1990,8.84145800000000000
rgdpe,BGR,2000,73997.11718750000000000
pop,BGR,2000,7.99795700000000000
rgdpe,BGR,2010,123580.53906250000000000
pop,BGR,2010,7.42500800000000000
